"","q","n_total","sub_size","subsample_id","repetition","method","SHD","Precision","Recall","F1_Score"
"78",50,300,100,3,13,"Bayesian",21,1,0.5227,0.6866
"79",50,300,100,1,14,"Frequentist",18,1,0.6727,0.8043
"80",50,300,100,1,14,"Bayesian",21,1,0.6182,0.764
"81",50,300,100,2,14,"Frequentist",21,0.9474,0.6545,0.7742
"82",50,300,100,2,14,"Bayesian",21,0.9722,0.6364,0.7692
"83",50,300,100,3,14,"Frequentist",18,0.9744,0.6909,0.8085
"84",50,300,100,3,14,"Bayesian",18,1,0.6727,0.8043
"85",50,300,100,1,15,"Frequentist",21,0.8889,0.5714,0.6957
"86",50,300,100,1,15,"Bayesian",20,1,0.5238,0.6875
"87",50,300,100,2,15,"Frequentist",29,0.76,0.4524,0.5672
"88",50,300,100,2,15,"Bayesian",27,0.8947,0.4048,0.5574
"89",50,300,100,3,15,"Frequentist",22,0.9167,0.5238,0.6667
"90",50,300,100,3,15,"Bayesian",25,1,0.4048,0.5763
"91",50,300,100,1,16,"Frequentist",21,0.96,0.5455,0.6957
"92",50,300,100,1,16,"Bayesian",21,1,0.5227,0.6866
"93",50,300,100,2,16,"Frequentist",17,0.9091,0.6818,0.7792
"94",50,300,100,2,16,"Bayesian",16,1,0.6364,0.7778
"95",50,300,100,3,16,"Frequentist",13,1,0.7045,0.8267
"96",50,300,100,3,16,"Bayesian",15,1,0.6591,0.7945
"97",50,300,100,1,17,"Frequentist",20,1,0.661,0.7959
"98",50,300,100,1,17,"Bayesian",24,1,0.5932,0.7447
"99",50,300,100,2,17,"Frequentist",26,0.8837,0.6441,0.7451
"100",50,300,100,2,17,"Bayesian",28,0.9429,0.5593,0.7021
"101",50,300,100,3,17,"Frequentist",23,0.9737,0.6271,0.7629
"102",50,300,100,3,17,"Bayesian",26,0.9714,0.5763,0.7234
"103",50,300,100,1,18,"Frequentist",20,0.975,0.6724,0.7959
"104",50,300,100,1,18,"Bayesian",23,0.973,0.6207,0.7579
"105",50,300,100,2,18,"Frequentist",22,0.9737,0.6379,0.7708
"106",50,300,100,2,18,"Bayesian",24,0.9722,0.6034,0.7447
"107",50,300,100,3,18,"Frequentist",20,1,0.6552,0.7917
"108",50,300,100,3,18,"Bayesian",25,1,0.569,0.7253
"109",50,300,100,1,19,"Frequentist",18,0.9048,0.7308,0.8085
"110",50,300,100,1,19,"Bayesian",18,0.9722,0.6731,0.7955
"111",50,300,100,2,19,"Frequentist",17,0.9487,0.7115,0.8132
"112",50,300,100,2,19,"Bayesian",16,1,0.6923,0.8182
"113",50,300,100,3,19,"Frequentist",16,1,0.6923,0.8182
"114",50,300,100,3,19,"Bayesian",20,1,0.6154,0.7619
"115",50,300,100,1,20,"Frequentist",21,0.9697,0.6154,0.7529
"116",50,300,100,1,20,"Bayesian",21,1,0.5962,0.747
"117",50,300,100,2,20,"Frequentist",23,1,0.5577,0.716
"118",50,300,100,2,20,"Bayesian",26,1,0.5,0.6667
"119",50,300,100,3,20,"Frequentist",18,1,0.6538,0.7907
"120",50,300,100,3,20,"Bayesian",23,1,0.5577,0.716
"121",200,300,100,1,1,"Frequentist",104,0.8601,0.5942,0.7029
"122",200,300,100,1,1,"Bayesian",107,0.931,0.5217,0.6687
"123",200,300,100,2,1,"Frequentist",102,0.8477,0.6184,0.7151
"124",200,300,100,2,1,"Bayesian",99,0.9286,0.5652,0.7027
"125",200,300,100,3,1,"Frequentist",96,0.8627,0.6377,0.7333
"126",200,300,100,3,1,"Bayesian",99,0.9355,0.5604,0.7009
"127",200,300,100,1,2,"Frequentist",83,0.9281,0.6386,0.7566
"128",200,300,100,1,2,"Bayesian",96,0.9569,0.5495,0.6981
"129",200,300,100,2,2,"Frequentist",82,0.911,0.6584,0.7644
"130",200,300,100,2,2,"Bayesian",91,0.944,0.5842,0.7217
"131",200,300,100,3,2,"Frequentist",100,0.8493,0.6139,0.7126
"132",200,300,100,3,2,"Bayesian",94,0.9821,0.5446,0.7006
"133",200,300,100,1,3,"Frequentist",90,0.85,0.633,0.7256
"134",200,300,100,1,3,"Bayesian",82,0.9569,0.5904,0.7303
"135",200,300,100,2,3,"Frequentist",87,0.8582,0.6436,0.7356
"136",200,300,100,2,3,"Bayesian",84,0.9333,0.5957,0.7273
"137",200,300,100,3,3,"Frequentist",94,0.8456,0.6117,0.7099
"138",200,300,100,3,3,"Bayesian",82,0.9649,0.5851,0.7285
"139",200,300,100,1,4,"Frequentist",102,0.879,0.6244,0.7302
"140",200,300,100,1,4,"Bayesian",99,0.9841,0.5611,0.7147
"141",200,300,100,2,4,"Frequentist",88,0.9236,0.6561,0.7672
"142",200,300,100,2,4,"Bayesian",98,0.9695,0.5747,0.7216
"143",200,300,100,3,4,"Frequentist",97,0.9189,0.6154,0.7371
"144",200,300,100,3,4,"Bayesian",98,0.9843,0.5656,0.7184
"145",200,300,100,1,5,"Frequentist",93,0.7971,0.6286,0.7029
"146",200,300,100,1,5,"Bayesian",85,0.9327,0.5543,0.6953
"147",200,300,100,2,5,"Frequentist",85,0.8358,0.64,0.7249
"148",200,300,100,2,5,"Bayesian",83,0.9107,0.5829,0.7108
"149",200,300,100,3,5,"Frequentist",95,0.7899,0.6229,0.6965
"150",200,300,100,3,5,"Bayesian",83,0.9259,0.5714,0.7067
"151",200,300,100,1,6,"Frequentist",105,0.8533,0.6066,0.7091
"152",200,300,100,1,6,"Bayesian",102,0.936,0.5545,0.6964
"153",200,300,100,2,6,"Frequentist",106,0.8889,0.5687,0.6936
"154",200,300,100,2,6,"Bayesian",102,0.9658,0.5355,0.689
"155",200,300,100,3,6,"Frequentist",106,0.8777,0.5782,0.6971
